tahun,kabupaten_kota,populasi_ribu,laju_pertumbuhan_pct,pct_total_populasi,kepadatan_jiwa_km2,rasio_jenis_kelamin
2025,Morowali Utara,129.6,1.42,4.11,15.0,108.8
2025,Parigi Moutong,464.8,1.1,14.73,80.0,104.8
2025,Poso,256.4,0.93,8.13,34.0,105.9
2025,Sigi,273.2,1.19,8.66,52.0,104.5
2025,Sulawesi Tengah,3156.1,1.12,100.0,51.0,105.1
2025,Tojo Una-Una,172.6,1.05,5.47,31.0,106.1
2025,Toli-Toli,236.0,0.95,7.48,64.0,103.8
2026,Banggai,385.1,1.07,12.07,47.0,102.0
2026,Banggai Kepulauan,126.9,0.95,3.98,53.0,105.0
2026,Banggai Laut,75.8,1.29,2.38,111.0,104.3
2026,Buol,155.9,1.24,4.89,42.0,103.7
2026,Donggala,316.2,0.89,9.91,62.0,105.7
2026,Kota Palu,402.4,1.32,12.62,1131.0,108.6
2026,Morowali,178.7,1.75,5.6,40.0,103.4
2026,Morowali Utara,131.4,1.47,4.12,15.0,101.7
2026,Parigi Moutong,469.7,1.14,14.72,81.0,105.1
2026,Poso,258.8,0.96,8.11,34.0,121.6
2026,Sigi,276.6,1.24,8.67,53.0,106.2
2026,Sulawesi Tengah,3189.8,1.16,100.0,52.0,100.5
2026,Tojo Una-Una,174.4,1.09,5.47,31.0,104.7
2026,Toli-Toli,238.1,0.97,7.46,64.0,105.1
